店名,捷運站,地址,官網,wifi 穩定,價格便宜,咖啡好喝,安靜程度,插座,有無限時,有賣單品,有賣正餐,有賣甜點,週一,週三,週二,週五,週六,週四,週日,,
D23 cafe,,台北市中山區明水路397巷7弄46號,https://www.facebook.com/D23cafe/,5,2,2,2,Yes,,Yes,No,Yes,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,,
Full of Beans 充滿豆豆咖啡館,南京復興,台北市中山區龍江路21巷9-6號,https://www.facebook.com/FOBcafe.gallery/,5,4,5,5,Yes,No,Yes,No,Yes,未營業,12:00 - 18:00,12:00 - 18:00,12:00 - 18:00,12:00 - 18:00,12:00 - 18:00,12:00 - 18:00,,
Gerbera Cafe宓坊咖啡,,台北市民生東路三段113巷29號,暫無資料,5,4,4,5,Yes,No,Yes,No,Yes,,,,,,,,,
七三茶堂 7teahouse,,台北市信義區忠孝東路四段553巷46弄16號,暫無資料,4.5,3.5,4,5,,,,,,,,,,,,,,
道南館,,台南市中西區民權路二段248號,https://www.facebook.com/daonanguan,4,3,5,4.5,Yes,,Yes,,Yes,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,13:00 - 18:00,,
22Café - 22號咖啡館,科技大樓,台北市大安區四維路216巷22號,https://www.facebook.com/22cafeBrunch/about/?ref=page_internal,5,5,3,5,,,,,,10:00 - 18:00,10:00 - 18:00,未營業,10:00 - 18:00,09:00 - 18:00,10:00 - 18:00,09:00 - 18:00,,
The Common,公館,台北市中正區羅斯福路四段138號3樓,https://www.facebook.com/thecommontw,3,4,3,4,Yes,No,,Yes,,13:00 - 23:00,13:00 - 23:00,13:00 - 23:00,13:00 - 23:00,13:00 - 23:00,13:00 - 23:00,13:00 - 23:00,,
初訪 True from,,台北市松山區八德路三段158巷5號,https://www.facebook.com/truefrom1585/,4,3.5,4,4,,,,,,,,,,,,,,
Her café,,新北市瑞芳區金瓜石祈堂路95-21號,https://www.facebook.com/hercafe2016,5,4.5,4,3.5,Yes,,Yes,Yes,Yes,未營業,11:00 - 17:00,11:00 - 17:00,11:00 - 17:00,11:00 - 18:00,11:00 - 17:00,11:00 - 18:00,,
Kafemera,"大安站6號出口步7分, 忠孝復興站3號出口步10分/公車站""仁愛敦化路口""步2分, ""仁愛國中""""和安里""步5分, ""信義敦化路口""""信義大安路口""步6分/Youbike""仁愛醫院""站步3分, ""信義敦化路口""站步8分",台北市大安路一段175巷11號,https://www.facebook.com/Kafemera/?fref=ts,5,4,5,4,Yes,,Yes,No,Yes,未營業,08:00 - 18:30,08:00 - 18:30,08:00 - 18:30,08:00 - 18:00,08:00 - 18:30,08:00 - 18:00,,
醜小鴨咖啡外帶吧,,台北市內湖區江南街123號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
波浮 habu juice&foods,,台北市大安區安和路二段227巷4號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
自由溫室liberbox,,新北市永和區水源街21巷2號,自由溫室,4,4,4,3,Yes,No,Yes,Yes,Yes,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,,
私藏不藏私,景安,新北市中和區景安路167巷6號,https://www.facebook.com/dlcservice/,5,3.5,4,2.5,No,,No,Yes,Yes,未營業,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,11:00 - 21:00,12:00 - 21:00,11:00 - 21:00,,
臺北人Cafe',,台北市大安區安和路一段6號,https://www.facebook.com/taipeiercafe.exhibitions/,5,2,2.5,4,Yes,No,Yes,Yes,Yes,14:00 - 01:00,14:00 - 01:00,14:00 - 01:00,14:00 - 02:00,11:00 - 02:00,14:00 - 01:00,11:00 - 01:00,,
Louisa Coffee 路易．莎咖啡 江子翠店,江子翠站6號出口,新北市板橋區文化路二段367號,https://www.facebook.com/louisacoffee.6/,4,4,4,2,Yes,No,Yes,,Yes,07:30 - 21:00,07:30 - 21:00,07:30 - 21:00,07:30 - 22:00,07:30 - 22:00,07:30 - 21:00,07:30 - 21:00,,
Provider -Dry Goods & Coffee-,"西門站6號出口步9分/公車站""漢口街""前/YouBike""峨眉停車場""站步4分, ""開封西寧路口""站步5分",台北市萬華區漢口街二段105號,https://www.facebook.com/Provider2004/,4,4,5,4.5,Yes,,Yes,Yes,No,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,,
諾米咖啡NOMI COFFEE,,105台北市松山區八德路四段245巷32弄29號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
無名黑鐵咖啡,,台北市中正區和平西路二段97號,https://www.facebook.com/Nameless.coffee/,4,4,5,4,No,No,Yes,No,No,未營業,11:00 - 17:45,11:00 - 17:45,11:00 - 19:45,11:00 - 19:45,11:00 - 19:45,11:00 - 17:45,,
路燈咖啡 師大店,,台北市大安區浦城街4號,暫無資料,4,3,3.5,2,Yes,No,,No,Yes,,,,,,,,,
HOLIN COFFEE,,新北市中和區中和路472號1樓,https://www.facebook.com/holincoffee/,5,5,5,4,Yes,No,Yes,No,Yes,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,,
Hou Coffee shop,芝山站2號出口步1分,台北市士林區福華路157巷5號,https://www.facebook.com/houcoffeeshop/,4,4,4,4,,,Yes,Yes,Yes,未營業,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,,
黑吧煎焙咖啡專賣店,,110台北市信義區基隆路二段27號,暫無資料,0,3.5,4,4,,No,No,No,No,07:30 - 18:00,07:30 - 18:00,07:30 - 18:00,07:30 - 18:00,09:00 - 18:00,07:30 - 18:00,未營業,,
黑豆坊咖啡,,台北市士林區中山北路5段527號,https://www.facebook.com/pages/%E9%BB%91%E8%B1%86%E5%9D%8A%E5%92%96%E5%95%A1/187203827965302?fref=ts,3,3,5,3,,,,,,,,,,,,,,
嵐山咖啡,中山國小,台北市中山區龍江路114巷1號,http://www.coffeelife.com.tw/,4,5,5,4,,,,,,,,,,,,,,
時光咖啡故事舘,"台鐵汐科站北出口前/公車站""汐科站北站""步3分, ""連興街口""步4分/YouBike""汐科火車站(北)""站前",新北市汐止區龍安路202巷51號,https://www.facebook.com/%E6%99%82%E5%85%89%E5%92%96%E5%95%A1%E6%95%85%E4%BA%8B%E8%88%98-890821047753913/,5,3.5,4,4.5,No,,Yes,Yes,Yes,未營業,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 18:00,11:00 - 20:00,11:00 - 18:00,,
BitterSweet 三創店,忠孝新生,台北市中山區市民大道三段2號11樓,https://www.facebook.com/BitterSweetCoffeeRoast/?hc_ref=SEARCH&fref=nf,5,4,5,5,Yes,No,,,,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,,
書店,,板橋區大觀路一段二十九巷81號,http://www.ccbook.tw/,4,5,3,4,Yes,,,,,,,,,,,,,
Wen's Coffee,,新北市板橋區文化路二段320號2樓,https://www.facebook.com/wenscafe/,4,3.5,4,4,,,,,,未營業,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,,
Fika Fika 內湖店,,台北市內湖區陽光街321巷40號,https://www.facebook.com/FikaFikaCafe/,4,3,5,3,No,No,Yes,Yes,Yes,,,,,,,,,
shiro cafe,大安捷運站,台北市大安區瑞安街116號,https://www.instagram.com/shirocafe/,5,5,5,5,Yes,No,Yes,Yes,Yes,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 18:00,,
杜鵑窩 CUCKOO's NEST,大直站 3 號出口步1分,台北市中山區北安路458巷41弄52號,https://www.facebook.com/CUCKOOSNESTCAFE/,5,5,5,5,Yes,No,Yes,Yes,Yes,13:30 - 00:30,13:30 - 00:30,13:30 - 00:30,13:30 - 00:30,13:30 - 00:30,13:30 - 00:30,13:30 - 00:30,,
Day Off,,汀州路三段104巷6號,https://m.facebook.com/coffee.dayoff/,4.8,4,5,4,Yes,,Yes,No,Yes,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,12:00 - 22:00,10:00 - 22:00,12:00 - 21:00,10:00 - 21:00,,
菲瑪咖啡 Cafe Fima,,新北市永和區仁愛路300號,https://www.facebook.com/pages/%E8%8F%B2%E7%91%AA%E5%92%96%E5%95%A1%E8%87%AA%E5%AE%B6%E7%83%98%E7%84%99%E5%92%96%E5%95%A1%E9%A4%A8/173387669372698,4,4,5,5,Yes,,Yes,Yes,,,,,,,,,,
Cafe Hidden Gem 璞石咖啡,芝山站,台北市士林區中山北路六段439巷4號,https://www.facebook.com/coffeehiddengem,5,4,5,5,Yes,No,Yes,,,12:00 - 21:00,12:00 - 21:00,未營業,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,,
Sultani Coffee,,台北市中山區北安路630巷25弄8號1樓,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
The Five Cafe Lab,,台北市內湖區民權東路六段461號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
肆月咖啡,,中原街137號,暫無資料,5,5,5,5,,,,,,,,,,,,,,
響板,中山,台北市中山區中山北路二段26巷23號,https://www.facebook.com/%E9%9F%BF%E6%9D%BF-Woodensounds-Garnet-Cru-568338536528830/,5,3.5,5,5,,No,,,,13:00 - 22:00,13:00 - 22:00,13:00 - 22:00,13:00 - 22:00,13:00 - 22:00,13:00 - 22:00,13:00 - 22:00,,
老木咖啡,,台北市大安區和平東路三段119巷11號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
挑豆院,台電大樓,台北市大安區羅斯福路三段269巷2-1號,https://www.facebook.com/%E6%8C%91%E8%B1%86%E9%99%A2-1645727852330619/?fref=ts,4,3,4.5,4.5,Yes,No,Yes,No,Yes,未營業,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 18:30,,
咖啡小劇場 Cafe Theatre,港墘/文德,台北市內湖區文德路22巷9弄66號,https://www.facebook.com/cafetheatretaipei/,5,5,5,5,No,No,Yes,No,Yes,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,未營業,10:00 - 21:00,10:00 - 21:00,,
PUSH ONE,昆陽捷運站,台北市南港區昆陽街1號,https://www.facebook.com/lovepushone999/,5,4,5,4,Yes,,Yes,Yes,Yes,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,09:00 - 18:00,11:00 - 21:00,09:00 - 18:00,,
爐鍋咖啡 關渡店,關渡站1號出口，步行2分鐘，跨國知名連鎖咖啡店後面的巷內,台北市北投區大度路三段296巷39號,https://www.luguocafe.com/pages/kuandu-cafe,4.5,3,3,3,Yes,No,Yes,No,Yes,未營業,12:00 - 20:00,12:00 - 20:00,12:00 - 20:00,12:00 - 20:00,12:00 - 20:00,12:00 - 20:00,,
布朗奇咖啡 敦南店,科技大樓,台北市大安區敦化南路二段182號,https://www.facebook.com/pg/BrunchCoffeeDunnan/about/?ref=page_internal,5,3.5,3,4.5,Yes,No,,,,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:30 - 16:00,07:00 - 20:00,07:30 - 16:00,,
黑 犬 Black Doggy,,台北市士林區中正路213巷19號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
BitterSweet 咖啡烘焙所,,新北市淡水區北新路182巷5弄12號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
Cafe Barco 新店中正店,,新北市新店區中正路523號,https://line.me/R/ti/p/%40mru8080a,5,5,5,3,No,No,Yes,Yes,No,,,,,,,,,
Seeking Café,葫洲,台北市內湖區成功路五段420巷11號1樓,https://www.facebook.com/SeekingCafe.Taipei/,4,4.5,4,5,Yes,No,,,,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 21:00,09:00 - 21:00,09:00 - 19:00,09:00 - 19:00,,
Next One,,台北市中正區八德路一段15號2F,https://www.facebook.com/nextoneTW/,5,4,4,3.5,Yes,No,,Yes,Yes,10:30 - 21:30,10:30 - 21:30,10:30 - 21:30,10:30 - 21:30,10:30 - 21:30,10:30 - 21:30,11:00 - 20:00,,
吉印,永春,台北市信義區忠孝東路五段492巷14號,https://www.facebook.com/jiyinn/,5,4,5,5,Yes,No,Yes,No,Yes,14:00 - 23:45,14:00 - 23:45,未營業,14:00 - 23:45,14:00 - 23:45,14:00 - 23:45,14:00 - 23:45,,
Rayca Coffee,雙連,台北市中山區錦西街24號,https://www.facebook.com/raycaraycacoffee/,5,4,4,2,Yes,No,Yes,Yes,Yes,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 21:30,07:00 - 22:00,07:00 - 21:30,,
LA CHAUDIERE COFFEE,,台北市松山區復興北路361巷6號,https://www.facebook.com/lachaudierecafes,5,4,5,5,,,,,,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,,
加爾第咖啡,,台北市信義區吳興街600巷78號,暫無資料,4.5,3.5,4.5,4,Yes,No,Yes,No,Yes,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,未營業,09:00 - 21:00,,
P&C Boutique Cafe,,台北市大同區赤峰街28之4號,暫無資料,5,3,3,5,Yes,,No,Yes,Yes,未營業,11:00 - 20:00,11:00 - 20:00,10:00 - 22:00,10:00 - 22:00,11:00 - 20:00,10:00 - 20:00,,
202 coffeebar,,新北市汐止區仁愛路202號,https://www.facebook.com/202coffeebar/,5,5,4,5,Yes,No,No,Yes,Yes,,,,,,,,,
Cafe' de Corner,,台北市中正區羅斯福路二段36巷1號,暫無資料,4,3.5,4,4,,,Yes,,,,,,,,,,,
離線咖啡 Offline Cafe,,台北市中正區八德路一段1號,https://www.facebook.com/pages/%E9%9B%A2%E7%B7%9A%E5%92%96%E5%95%A1-Offline-Cafe/588889944506068,5,3.5,4,2.5,No,,,,,,,,,,,,,
NO.7 Coffee,中正紀念堂,台北市中正區南昌路一段59巷10號,https://no7coffee.oddle.me/,4,5,5,5,Yes,No,Yes,No,Yes,未營業,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,,
敲我Ciao.O烘焙工作室,頭前庄/新莊,新北市新莊區明中街36號,https://www.facebook.com/CiaoCiaoO620/about/,4.5,5,5,4.5,Yes,No,Yes,No,Yes,未營業,12:00 - 21:30,未營業,12:00 - 21:30,11:00 - 21:30,12:00 - 21:30,11:00 - 21:30,,
Goodmans Songshan,,台北市南港區市民大道七段8號1樓,https://www.facebook.com/Goodmanssongshan,5,3.5,4.5,3,No,No,,No,Yes,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,未營業,10:00 - 18:00,未營業,,
四婁cafeˊ,,新北市土城區中央路三段126巷21號4樓,https://www.facebook.com/四婁Café-257342794995737/?modal=admin_todo_tour,5,5,5,5,Yes,No,Yes,Yes,Yes,08:00 - 18:30,08:00 - 18:30,08:00 - 18:30,08:00 - 18:30,未營業,08:00 - 18:30,未營業,,
Louisa萬大店,,台北市萬華區萬大路441號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
Cafe Bastille 台大,"公館站3號出口步7分, 台電大樓站2號出口步7分/公車站""台大""步2分, ""台電大樓""步4分/YouBike""羅斯福新生南路口""站步5分, ""辛亥新生路口""""捷運台電大樓站(2號出口)""站步7分",台北市大安區溫州街91號,https://www.facebook.com/CafeBastilleT/,4,4.5,5,3.5,Yes,No,Yes,Yes,Yes,未營業,12:00 - 00:00,12:00 - 00:00,12:00 - 00:00,12:00 - 00:00,12:00 - 00:00,12:00 - 00:00,,
布拉克自家烘焙咖啡館,北投,No. 17 Datong St 北投區 台北市台灣,暫無資料,4,5,5,5,No,No,Yes,No,Yes,未營業,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,00:00 - 00:00,,
Miao米亞歐隨義小廚,市政府,台北市信義區忠孝東路五段71巷32號,https://www.facebook.com/Miaorestaurant/,4,3,4,4,Yes,Yes,,,,未營業,11:30 - 22:00,11:30 - 22:00,11:30 - 22:00,11:30 - 22:00,11:30 - 22:00,11:30 - 22:00,,
Lotty cafe 綠蒂咖啡,,台北市中山區台北市中山區農安街53號,暫無資料,5,4,4,3,Yes,No,,Yes,Yes,,,,,,,,,
新莊藍貓咖啡,,新北市新莊區富國路109巷1號1樓,https://www.facebook.com/%E6%96%B0%E8%8E%8A%E8%97%8D%E8%B2%93%E5%92%96%E5%95%A1-376884899055453/,4,5,5,5,Yes,No,,Yes,Yes,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,未營業,10:00 - 22:00,未營業,,
Louisa Coffee 路易莎咖啡(師大直營店),,臺北市大安區和平東路一段79號,暫無資料,4,4.5,4,1.5,Yes,,,,Yes,,,,,,,,,
敲好 chiao hao,,台北市中山區中原街34號,https://www.facebook.com/敲好chiao-hao-820564704733122/,5,3.5,4,5,Yes,No,No,Yes,Yes,08:00 - 17:00,08:00 - 21:00,08:00 - 17:00,08:00 - 21:00,08:00 - 21:00,08:00 - 17:00,08:00 - 17:00,,
Blacktail cafe,,台北市內湖區江南街65巷51號1樓,https://www.facebook.com/Blacktailcafe/,3,3,5,2,Yes,No,Yes,No,Yes,12:00 - 00:00,12:00 - 00:00,12:00 - 00:00,12:00 - 00:00,14:00 - 00:00,12:00 - 00:00,14:00 - 00:00,,
Lost and Found it cafe 失物招領咖啡館,,105 台北市大安區敦化南路一段161巷6號2樓,https://www.facebook.com/lostandfoundit1/,5,4,5,5,Yes,No,Yes,Yes,Yes,12:00 - 20:00,12:00 - 20:00,12:00 - 20:00,12:00 - 20:00,11:00 - 22:00,12:00 - 20:00,11:00 - 22:00,,
派樂思咖啡,,臺北市中山區松江路362巷32號,暫無資料,4,3,4,4,Yes,No,No,Yes,No,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,09:00 - 20:00,11:00 - 20:00,09:00 - 20:00,,
小森咖啡,,新北市新莊區瓊泰路103號,https://www.facebook.com/moricoffee.tw/,5,3,4.5,5,Yes,No,Yes,No,Yes,未營業,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,,
Norma Coffee 諾馬咖啡-大同哈密店,圓山站行走七分鐘,台北市大同區哈密街65號,https://www.facebook.com/normacoffee65/,5,4.5,4.5,4,No,No,Yes,,,10:00 - 18:30,10:00 - 18:30,10:00 - 18:30,10:00 - 18:30,10:00 - 18:30,未營業,10:00 - 18:30,,
恬.秘密,"板橋站1號出口步4分/公車站""萬坪公園""步1分, ""綜合運動場""步5分, ""板橋公車站""步7分/YouBike""捷運板橋站(1號出口)""""捷運板橋站(3號出口)""站步4分",新北市板橋區文化路一段45巷8號,https://www.facebook.com/%E6%81%AC%E7%A5%95%E5%AF%86-1807361892842437/,5,3.5,4,5,Yes,,No,Yes,Yes,11:30 - 21:00,11:30 - 21:00,11:30 - 21:00,11:30 - 21:00,11:30 - 21:00,未營業,11:30 - 21:00,,
彼得好咖啡信義大安店,,台北市大安區信義路三段170號,暫無資料,3,5,4,4,Yes,No,Yes,Yes,Yes,,,,,,,,,
Yolo's Cafe合江店,中山國中站,台北市中山區合江街182號,https://www.facebook.com/yoloscafe20160805/,5,5,5,4.5,Yes,No,Yes,No,No,07:00 - 18:00,07:00 - 18:00,07:00 - 18:00,07:00 - 18:00,08:00 - 17:00,07:00 - 18:00,08:00 - 17:00,,
淳覺植饌咖啡坊,北投站,112台北市北投區北投路二段17號,https://www.facebook.com/Euphoria168/,4,3.5,4,4,,,Yes,Yes,Yes,未營業,12:00 - 22:00,12:00 - 22:00,12:00 - 22:00,12:00 - 22:00,12:00 - 22:00,12:00 - 22:00,,
IM 雨焰商行 x 阿波伯楊桃,西門站，小南門站,台北市萬華區西寧南路212號1樓,https://www.facebook.com/iain.miffy/,4,5,5,5,No,No,No,No,Yes,未營業,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,,
光權 Kuang's Bistro,板橋站,新北市板橋區光正街32號,https://www.facebook.com/kuang.bistro/,5,4,4,4,Yes,No,No,Yes,Yes,未營業,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,09:00 - 19:00,10:00 - 18:00,09:00 - 19:00,,
金鑛咖啡(台北信義）,,台北市信義區信義路四段375號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
All About Caffe,古亭站,台北市中正區同安街63號,https://www.facebook.com/AllAboutCaffe/,5,5,5,5,No,,No,Yes,No,未營業,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,11:00 - 19:00,08:00 - 19:00,11:00 - 19:00,,
鈐龍奭自家烘焙咖啡館,,新北市樹林區保安二街38號,暫無資料,5,5,5,5,Yes,No,Yes,Yes,Yes,,,,,,,,,
約約客Scooping Cafe,捷運中正紀念堂站,台北市中正區羅斯福路一段9巷9號,https://www.facebook.com/scoopingcafe/,4,2,3,2,No,No,Yes,Yes,Yes,08:00 - 20:30,08:00 - 20:30,08:00 - 20:30,08:00 - 20:30,10:00 - 20:30,08:00 - 20:30,10:00 - 20:30,,
耕耘空間,,台北市士林區中山北路五段678號,https://www.facebook.com/sowingspace/,5,3,4,4,Yes,No,,Yes,Yes,,,,,,,,,
Neighbors Cafe 好鄰居,,111台北市士林區中山北路六段430號,https://www.facebook.com/cafeneighbors/,4,4,5,5,Yes,,Yes,Yes,Yes,未營業,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,,
富錦樹353咖啡,,105台灣台北市松山區富錦街353號,https://www.facebook.com/fujintree353cafe,3,3,4,3,Yes,No,Yes,No,Yes,,,,,,,,,
J Robot,"徐匯中學站2號出口步11分/公車站""集賢路""步3分/YouBike""重陽公園""站步1分",新北市三重區三德街35號,https://www.facebook.com/jrobotcoffee/,5,4.5,4.5,4.5,Yes,No,No,Yes,Yes,10:30 - 18:00,10:30 - 18:00,10:30 - 18:00,10:30 - 18:00,10:30 - 18:00,10:30 - 18:00,10:30 - 18:00,,
深坑 Arc Cafe,,新北市深坑區文山路二段126號,暫無資料,5,4,5,4,,,,,,,,,,,,,,
典藏珈啡館－府中店,板橋,新北市板橋區民權路65號,https://www.facebook.com/Artco-De-Caf%C3%A9%E5%85%B8%E8%97%8F%E5%92%96%E5%95%A1%E9%A4%A8%E5%BA%9C%E4%B8%AD%E5%BA%97-797731903596986/?ref=page_internal,5,4,3,4,Yes,,No,Yes,Yes,08:30 - 21:30,08:30 - 21:30,08:30 - 21:30,08:30 - 21:30,08:30 - 21:30,08:30 - 21:30,08:30 - 21:30,,
夏洛特咖啡,,台北市大安區復興南路一段107巷5弄5號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
CBD Café,,台北市長安東路二段36巷11號,https://www.facebook.com/cbdcafetaipei/,4,4,4,5,Yes,No,Yes,Yes,Yes,未營業,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,,
醒而眠手烘咖啡吧 Awake til sleep,,台北市大安區仁愛路三段143巷38號,暫無資料,4,3,4,3,Yes,,Yes,No,Yes,08:00 - 00:00,08:00 - 00:00,08:00 - 00:00,08:00 - 00:00,08:00 - 00:00,08:00 - 00:00,08:00 - 00:00,,
NATIVO精品咖啡,,台北市內湖區文德路22巷9弄48號,暫無資料,3.5,4,4.5,4,Yes,No,Yes,No,Yes,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 18:00,,
森高砂咖啡館,,台北市延平北路二段1號,http://www.sancoffee.com.tw/index.html,5,3.5,5,4.5,Yes,No,Yes,No,Yes,,,,,,,,,
a little warm by 25th corner,,台北市大安區師大路105巷2號,https://www.facebook.com/alittlewarmcafe/,5,4,5,5,Yes,No,,Yes,Yes,11:30 - 20:30,11:30 - 20:30,11:30 - 20:30,11:30 - 20:30,11:30 - 20:30,11:30 - 20:30,11:30 - 20:30,,
Balance caf'e 平衡點咖啡,忠孝復興站,台北市中山區八德路二段300巷56號,https://m.facebook.com/balance.espresso/?locale2=zh_TW,5,4,5,4,Yes,No,Yes,Yes,Yes,未營業,11:00 - 20:30,11:00 - 20:30,11:00 - 20:30,11:00 - 21:00,11:00 - 20:30,11:00 - 20:30,,
Congrats Café,信義安和站2號出口步2分,台北市大安區文昌街47號2樓,https://www.facebook.com/congratscafe.tw/,5,4,5,4,Yes,No,Yes,No,Yes,13:00 - 00:00,13:00 - 00:00,13:00 - 00:00,13:00 - 00:00,13:00 - 00:00,13:00 - 00:00,未營業,,
暗角咖啡,"古亭站 8 號出口步5分/公車站""牯嶺街""步1分, ""和平西路一段""""聯合醫院婦幼院區""步2分/YouBike""和平重慶路口""站步2分, ""南昌公園""站步4分",台北市中正區廈門街1號,https://www.facebook.com/darkcornercafe/,5,4,4,4,Yes,No,Yes,No,Yes,14:00 - 04:00,18:00 - 04:00,18:00 - 04:00,14:00 - 04:00,14:00 - 04:00,18:00 - 04:00,14:00 - 04:00,,
樂芙尼手工蛋糕,,台北市中山區長春路130之8號,暫無資料,4,3.5,4,4,,,Yes,,Yes,,,,,,,,,
Gato Café Stand,,台北市松山區市民大道五段9號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
MOT Cafe 明日咖啡,,106台灣台北市大安區市民大道三段178號,https://www.facebook.com/motcafemuseum/,5,4,4,4,Yes,No,,,Yes,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,,
Dodiddone Coffee,中山國中站,台北市松山區民權東路三段103巷3號,https://www.facebook.com/dodiddonecoffeeresearch/,5,4,5,4,Yes,No,Yes,No,Yes,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,13:00 - 20:00,08:00 - 20:00,13:00 - 20:00,,
咖啡因館,永安市場,新北市中和區中安街36-38號,https://www.facebook.com/caffeine.cafe11/,5,1,4,3,Yes,,,,,08:00 - 00:00,08:00 - 00:00,08:00 - 00:00,08:00 - 00:00,08:00 - 00:00,08:00 - 00:00,08:00 - 00:00,,
10 square cafe,信義安和,台北市大安區安和路二段35巷5號,https://zh-tw.facebook.com/10square.cafe/,5,2,4.5,5,Yes,No,,Yes,Yes,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,,
彼得好咖啡 板橋,新埔,220新北市板橋區自由路37號,https://www.facebook.com/彼得好咖啡-板橋店-423240414528231/,5,5,5,5,Yes,No,Yes,Yes,Yes,,,,,,,,,
Mini Cafe & Bar 米米咖啡館,,新北市新店區三民路61號,https://m.facebook.com/minicafebar0229185456/,5,3.5,5,3.5,No,,Yes,No,Yes,12:00 - 18:00,12:00 - 18:00,12:00 - 18:00,12:00 - 18:00,12:00 - 18:00,未營業,12:00 - 18:00,,
Banana Blue Coffee,,台北市中山區樂群二路162號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
